contractSymbol,strike,lastPrice,bid,ask,mid,spread,volume,openInterest,impliedVolatility,inTheMoney
SMH260213P00265000,265.0,0.25,0.0,0.31,0.155,0.31,9.0,9,0.622074091796875,False
SMH260213P00270000,270.0,0.17,0.08,0.24,0.16,0.15999999999999998,1.0,23,0.5996133789062501,False
SMH260213P00280000,280.0,0.33,0.06,0.41,0.235,0.35,4.0,5,0.577152666015625,False
SMH260213P00285000,285.0,0.62,0.1,0.45,0.275,0.35,30.0,15,0.5639692041015626,False
SMH260213P00290000,290.0,0.32,0.14,0.45,0.29500000000000004,0.31,4.0,6,0.543949873046875,False
SMH260213P00295000,295.0,0.36,0.29,0.4,0.345,0.11000000000000004,1.0,45,0.5302781347656251,False
SMH260213P00300000,300.0,0.58,0.25,0.46,0.355,0.21000000000000002,,13,0.506840869140625,False
SMH260213P00305000,305.0,1.11,0.32,0.68,0.5,0.36000000000000004,,1,0.508793974609375,False
SMH260213P00310000,310.0,0.57,0.51,0.65,0.5800000000000001,0.14,1.0,23,0.5046436254882812,False
SMH260213P00315000,315.0,1.1,0.6,0.75,0.675,0.15000000000000002,1.0,35,0.4904836108398438,False
SMH260213P00320000,320.0,0.75,0.72,0.88,0.8,0.16000000000000003,2.0,108,0.47803256347656253,False
SMH260213P00325000,325.0,0.96,0.75,1.13,0.94,0.3799999999999999,2.0,2,0.4742484216308594,False
SMH260213P00330000,330.0,1.09,0.94,1.32,1.13,0.3800000000000001,47.0,208,0.46143116699218756,False
SMH260213P00335000,335.0,1.34,1.15,1.49,1.3199999999999998,0.3400000000000001,12.0,56,0.44507390869140623,False
SMH260213P00340000,340.0,1.7,1.5,1.72,1.6099999999999999,0.21999999999999997,42.0,50,0.43079182495117196,False
SMH260213P00342500,342.5,3.15,1.5,1.92,1.71,0.41999999999999993,1.0,3,0.4278621667480469,False
SMH260213P00345000,345.0,1.62,1.69,2.09,1.89,0.3999999999999999,1.0,40,0.42212491943359376,False
SMH260213P00347500,347.5,3.6,1.81,2.34,2.075,0.5299999999999998,2.0,3,0.4198056066894531,False
SMH260213P00350000,350.0,2.22,2.16,2.4,2.2800000000000002,0.23999999999999977,27.0,149,0.4071104211425781,False
SMH260213P00352500,352.5,2.21,2.3,2.73,2.5149999999999997,0.43000000000000016,1.0,5,0.40680524841308596,False
SMH260213P00355000,355.0,2.81,2.47,2.97,2.72,0.5,6.0,9,0.4011900701904296,False
SMH260213P00357500,357.5,3.44,2.72,3.25,2.9850000000000003,0.5299999999999998,6.0,7,0.3963683410644532,False
SMH260213P00360000,360.0,3.11,3.1,3.4,3.25,0.2999999999999998,6.0,214,0.38550419189453117,False
SMH260213P00362500,362.5,3.6,3.3,3.85,3.575,0.5500000000000003,1.0,9,0.3853821228027343,False
SMH260213P00365000,365.0,3.58,3.75,4.1,3.925,0.34999999999999964,13.0,212,0.3767762518310547,False
SMH260213P00367500,367.5,4.13,4.1,4.45,4.275,0.35000000000000053,2.0,129,0.37085590087890624,False
SMH260213P00370000,370.0,4.6,4.5,4.85,4.675,0.34999999999999964,4.0,64,0.3655458953857422,False
SMH260213P00372500,372.5,4.9,4.95,5.3,5.125,0.34999999999999964,5.0,69,0.36072416625976556,False
SMH260213P00375000,375.0,5.52,5.4,5.8,5.6,0.39999999999999947,3.0,68,0.3562686444091796,False
SMH260213P00377500,377.5,6.14,5.7,6.45,6.075,0.75,1.0,6,0.35480381530761707,False
SMH260213P00380000,380.0,6.5,6.5,6.95,6.725,0.4500000000000002,4.0,37,0.3479069116210937,False
SMH260213P00382500,382.5,6.93,6.9,7.75,7.325,0.8499999999999996,1.0,11,0.34775432525634764,False
SMH260213P00385000,385.0,8.14,7.8,8.3,8.05,0.5000000000000009,8.0,66,0.3397587997436523,False
SMH260213P00387500,387.5,9.75,8.25,9.1,8.675,0.8499999999999996,3.0,10,0.3367986242675781,False
SMH260213P00390000,390.0,9.35,9.15,9.95,9.55,0.7999999999999989,7.0,16,0.333563793334961,False
SMH260213P00392500,392.5,10.45,9.9,10.85,10.375,0.9499999999999993,6.0,1,0.3301153414916992,False
SMH260213P00397500,397.5,12.6,11.85,13.0,12.425,1.1500000000000004,7.0,15,0.3267889587402344,False
SMH260213P00400000,400.0,13.71,13.3,13.95,13.625,0.6499999999999986,3.0,37,0.3200141241455078,False
SMH260213P00402500,402.5,14.1,14.1,15.35,14.725,1.25,3.0,2,0.3218451605224609,True
SMH260213P00405000,405.0,16.22,15.05,16.75,15.9,1.6999999999999993,3.0,7,0.3221503332519531,True
SMH260213P00407500,407.5,23.19,16.5,18.3,17.4,1.8000000000000007,,20,0.3242865423583984,True
SMH260213P00410000,410.0,18.93,17.25,19.85,18.55,2.6000000000000014,1.0,9,0.32498843963623036,True
SMH260213P00415000,415.0,34.0,20.85,23.45,22.15,2.599999999999998,,3,0.3338079315185547,True
SMH260213P00420000,420.0,25.93,23.9,26.05,24.975,2.150000000000002,1.0,6,0.31201859863281245,True
SMH260213P00430000,430.0,41.3,31.7,34.1,32.9,2.400000000000002,,22,0.32343205871582026,True
