scenario,p,severity,log_return,S_T
Aggressive tariffs / restrictions,0.2,2,-0.03650395224004378,386.03774762169917
No new measures,0.45,0,0.015765280728382153,406.7522954264259
Aggressive tariffs / restrictions,0.2,2,0.2462177821316364,512.1701483459325
Mild tariffs / tighter language,0.3,1,0.053711654975847574,422.4836566929431
No new measures,0.45,0,-0.09240425326953702,365.05019162136614
Aggressive + retaliation,0.05,3,0.06148187647195544,425.7792353909212
Aggressive tariffs / restrictions,0.2,2,0.05265917662902858,422.0392357051463
Aggressive tariffs / restrictions,0.2,2,-0.0444344860851429,382.9883697779177
No new measures,0.45,0,0.06509931640884146,427.32225540979454
Mild tariffs / tighter language,0.3,1,-0.12933518530280683,351.8144561401357
No new measures,0.45,0,0.030440954971122806,412.76567689788754
Aggressive tariffs / restrictions,0.2,2,0.11990435407947256,451.39530473571017
Mild tariffs / tighter language,0.3,1,0.24168000884049629,509.8513015058988
Aggressive tariffs / restrictions,0.2,2,-0.20409491844199396,326.4720010605114
No new measures,0.45,0,-0.016231766567146852,393.943438593151
No new measures,0.45,0,0.07524823112398737,431.6811943713846
Mild tariffs / tighter language,0.3,1,0.14204594294964426,461.50138343894787
No new measures,0.45,0,-0.20750607153887352,325.36025233362795
Aggressive tariffs / restrictions,0.2,2,-0.05653695940187503,378.3811985695422
Mild tariffs / tighter language,0.3,1,0.010451061828271086,404.59645805981415
Aggressive tariffs / restrictions,0.2,2,-0.326081016133125,288.9801765642451
No new measures,0.45,0,-0.05487894972332511,379.0090786307244
Aggressive + retaliation,0.05,3,-0.48581212652813466,246.31888627778432
Aggressive tariffs / restrictions,0.2,2,0.13101372495028357,456.4379812038638
Aggressive tariffs / restrictions,0.2,2,0.22895996412130246,503.4070426704961
No new measures,0.45,0,-0.09544262478855221,363.9427168280573
Mild tariffs / tighter language,0.3,1,0.08551592521511256,436.13639801318266
No new measures,0.45,0,-0.08298231467849619,368.50592640532795
No new measures,0.45,0,-0.008477662106050486,397.0099909865827
Mild tariffs / tighter language,0.3,1,0.12877625016779248,455.41785441072403
Mild tariffs / tighter language,0.3,1,-0.07424187546123313,371.7409472126416
Aggressive + retaliation,0.05,3,0.2475260169862321,512.8406256607526
No new measures,0.45,0,-0.09920202340067494,362.5770796791106
No new measures,0.45,0,0.21123584913862228,494.56320448442773
Mild tariffs / tighter language,0.3,1,-0.030518554449535162,388.3552658187644
No new measures,0.45,0,0.06419999881337722,426.93812973794803
No new measures,0.45,0,-0.08532451589902143,367.64382138057016
Mild tariffs / tighter language,0.3,1,0.16171778061947462,470.6698483483301
No new measures,0.45,0,-0.19885217284837994,328.1881053237523
Mild tariffs / tighter language,0.3,1,0.1714169540935093,475.2571674963377
No new measures,0.45,0,-0.06001315046075247,377.06815674457573
Aggressive tariffs / restrictions,0.2,2,0.06959932372446336,429.24954183446647
Mild tariffs / tighter language,0.3,1,-0.11568919486432641,356.64821857381276
No new measures,0.45,0,-0.029565153270004675,388.7257007457614
Aggressive tariffs / restrictions,0.2,2,0.01821388984261365,407.749493179755
Aggressive tariffs / restrictions,0.2,2,-0.09587129149520793,363.7867401356193
No new measures,0.45,0,-0.06619400771766061,374.7447400418912
No new measures,0.45,0,0.31509833982287866,548.6921012172413
Mild tariffs / tighter language,0.3,1,0.34439347737215054,565.0038730404425
No new measures,0.45,0,-0.18850380925579088,331.6019485445926
No new measures,0.45,0,0.016124093134729206,406.89826938340235
No new measures,0.45,0,-0.005591896904610998,398.15732327277436
Aggressive tariffs / restrictions,0.2,2,0.49892500953067853,659.4222799084089
Mild tariffs / tighter language,0.3,1,-0.2028951100643049,326.86393998124737
Mild tariffs / tighter language,0.3,1,-0.3428261943658301,284.1814419653386
Aggressive tariffs / restrictions,0.2,2,-0.0380868775139792,385.42716209741775
Mild tariffs / tighter language,0.3,1,0.258381134638249,518.4378955384732
Mild tariffs / tighter language,0.3,1,0.1093044195331401,446.635813761457
No new measures,0.45,0,-0.019895781705658068,392.50266499044017
No new measures,0.45,0,-0.2227267483179727,320.4455465518912
Mild tariffs / tighter language,0.3,1,0.027809188062451914,411.68080204343494
Mild tariffs / tighter language,0.3,1,0.12151079056314643,452.1210253777864
Mild tariffs / tighter language,0.3,1,-0.10185098716328946,361.6178971146962
Aggressive tariffs / restrictions,0.2,2,-0.37425547114118185,275.38872294621495
Mild tariffs / tighter language,0.3,1,-0.2606965645991177,308.50638624595433
Mild tariffs / tighter language,0.3,1,-0.06745196455127127,374.27362371942115
Mild tariffs / tighter language,0.3,1,-0.10458330415490623,360.63119100073646
No new measures,0.45,0,0.004867157656343685,402.343526141538
No new measures,0.45,0,0.03164853894504034,413.26442719511675
No new measures,0.45,0,0.09516321585723987,440.3642936827109
No new measures,0.45,0,0.06798513157625592,428.5572095234352
No new measures,0.45,0,0.1561900650249091,468.0752968655809
Aggressive tariffs / restrictions,0.2,2,0.0940014169892818,439.852976026472
No new measures,0.45,0,-0.2355456476414032,316.3640036867328
No new measures,0.45,0,-0.018196694447752022,393.1701281457159
No new measures,0.45,0,0.3105407321242139,546.1970678829605
No new measures,0.45,0,0.13721109241721963,459.2754785243144
Mild tariffs / tighter language,0.3,1,-0.14826851758450607,345.21609770577874
Mild tariffs / tighter language,0.3,1,-0.09040881436428724,365.7793542338721
Aggressive tariffs / restrictions,0.2,2,-0.017873563961267446,393.2971939288034
Mild tariffs / tighter language,0.3,1,-0.08830051645919743,366.5513395817232
No new measures,0.45,0,-0.16441203196163096,339.6878394880938
Aggressive tariffs / restrictions,0.2,2,0.4265619405145651,613.3900614817641
No new measures,0.45,0,0.02057642229319917,408.7139534248158
No new measures,0.45,0,-0.1156891242665918,356.6482437523699
No new measures,0.45,0,-0.04178450987720498,384.00462577814625
Mild tariffs / tighter language,0.3,1,-0.07079195796754621,373.0256375732336
Mild tariffs / tighter language,0.3,1,0.05716244329499452,423.9440767114442
No new measures,0.45,0,0.24995920961738005,514.0899850416885
Mild tariffs / tighter language,0.3,1,0.08367597894569596,435.33466827070725
No new measures,0.45,0,0.12501931685239304,453.71008988846813
Mild tariffs / tighter language,0.3,1,0.044929702383884135,418.78966920132393
No new measures,0.45,0,-0.17239361703967476,336.98738339346573
No new measures,0.45,0,-0.08182655261545038,368.9320777924407
No new measures,0.45,0,0.010097724344449954,404.45352421878925
Mild tariffs / tighter language,0.3,1,-0.381137524108341,273.49998980371635
No new measures,0.45,0,-0.021719735926180768,391.7874105919967
No new measures,0.45,0,0.04758743190855902,419.90417924688506
No new measures,0.45,0,-0.08292353936226546,368.5275860942066
Aggressive + retaliation,0.05,3,0.3571572033631803,572.261647248752
Aggressive tariffs / restrictions,0.2,2,-0.0327703942434176,387.48173587090207
Mild tariffs / tighter language,0.3,1,-0.1525980132122266,343.7247169130557
