scenario,p,severity,log_return,S_T,pnl_$
Aggressive tariffs / restrictions,0.2,2,-0.0004025356731298,400.2288758186161,-577.0
No new measures,0.45,0,0.0498443826182727,420.85295254679386,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2205757886502558,499.2040336944038,-577.0
Mild tariffs / tighter language,0.3,1,0.0808607857132236,434.1108405227959,-577.0
No new measures,0.45,0,-0.0470317717327032,381.9949302634769,-276.4930263476874
Aggressive + retaliation,0.05,3,0.0660718712922313,427.7380519157617,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0692883172522947,429.116063206215,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0066011255479924,397.7556941994275,-577.0
No new measures,0.45,0,0.0940277259192493,439.86454823984,-577.0
Mild tariffs / tighter language,0.3,1,-0.0765177141750082,370.8958867488841,833.4113251115905
No new measures,0.45,0,0.0629878513067089,426.42093127222654,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1218478654768131,452.2734497211504,-577.0
Mild tariffs / tighter language,0.3,1,0.2424706638878234,510.2545774158791,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.1313934231100235,351.09108301770874,2813.8916982291257
No new measures,0.45,0,0.0211879691346316,408.9639775950357,-577.0
No new measures,0.45,0,0.1031170488746231,443.880844230331,-577.0
Mild tariffs / tighter language,0.3,1,0.1568081099546481,468.364677845557,-577.0
No new measures,0.45,0,-0.150116449096227,344.5787510683128,2923.0
Aggressive tariffs / restrictions,0.2,2,-0.0160605478299174,394.0108948659708,-577.0
Mild tariffs / tighter language,0.3,1,0.0436665503826581,418.26100815250265,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.2267390586991745,319.162395480448,2922.9999999999995
No new measures,0.45,0,-0.0134242764976772,395.0509848700476,-577.0
Aggressive + retaliation,0.05,3,-0.3456575550475079,283.37795981474665,2923.0
Aggressive tariffs / restrictions,0.2,2,0.1305310682902604,456.21773152911015,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2070868939465045,492.51553469181295,-577.0
No new measures,0.45,0,-0.0497529237740662,380.9568769701558,-172.6876970155804
Mild tariffs / tighter language,0.3,1,0.108205198392928,446.1451319663028,-577.0
No new measures,0.45,0,-0.0385935253661371,385.231935713268,-577.0
No new measures,0.45,0,0.0281325106599858,411.8139292700671,-577.0
Mild tariffs / tighter language,0.3,1,0.1453992031371014,463.05151519953023,-577.0
Mild tariffs / tighter language,0.3,1,-0.0291500434545237,388.8870980961652,-577.0
Aggressive + retaliation,0.05,3,0.2060329284715849,491.9967137800778,-577.0
No new measures,0.45,0,-0.0531198244784905,379.67638983887736,-44.63898388773555
No new measures,0.45,0,0.2249069557522912,501.37085883593886,-577.0
Mild tariffs / tighter language,0.3,1,0.0084420322157115,403.7844277640169,-577.0
No new measures,0.45,0,0.0932223010739281,439.5104130379008,-577.0
No new measures,0.45,0,-0.0406911903793284,384.42469511593896,-519.469511593896
Mild tariffs / tighter language,0.3,1,0.1737214000054884,476.3536348227076,-577.0
No new measures,0.45,0,-0.1423660558543176,347.2597478613154,2923.0
Mild tariffs / tighter language,0.3,1,0.1820604752344057,480.3425926125676,-577.0
No new measures,0.45,0,-0.0180224438810873,393.23864423265104,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0825289169793025,434.8355987166544,-577.0
Mild tariffs / tighter language,0.3,1,-0.06478527726745,375.2730263874088,395.6973612591223
No new measures,0.45,0,0.0092466472068497,404.1094495089332,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0423655135569348,417.7171890192016,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0468046815049652,382.0816874296647,-285.16874296647256
No new measures,0.45,0,-0.0235579921959493,391.0678664839164,-577.0
No new measures,0.45,0,0.3179257412358116,550.2456692848019,-577.0
Mild tariffs / tighter language,0.3,1,0.3307808011795726,557.3647705467778,-577.0
No new measures,0.45,0,-0.1330981073699046,350.4930934112493,2873.6906588750726
No new measures,0.45,0,0.0501657334161876,420.9882157111985,-577.0
No new measures,0.45,0,0.0307169891609351,412.8796300638538,-577.0
Aggressive tariffs / restrictions,0.2,2,0.4180944540586794,608.2181170303987,-577.0
Mild tariffs / tighter language,0.3,1,-0.139762458488717,348.1650504363267,2923.0
Mild tariffs / tighter language,0.3,1,-0.260071249952056,308.69936013639807,2923.0
Aggressive tariffs / restrictions,0.2,2,-0.0016397669575967,399.7340063296394,-577.0
Mild tariffs / tighter language,0.3,1,0.2568298198311532,517.6342586626251,-577.0
Mild tariffs / tighter language,0.3,1,0.1286578734823842,455.3639467454116,-577.0
No new measures,0.45,0,0.0179064934456492,407.6241717173573,-577.0
No new measures,0.45,0,-0.1637480196362896,339.91347130314523,2922.9999999999995
Mild tariffs / tighter language,0.3,1,0.0585905767326748,424.5499579597594,-577.0
Mild tariffs / tighter language,0.3,1,0.1391525663099533,460.16801601420457,-577.0
Mild tariffs / tighter language,0.3,1,-0.0528875773901091,379.76457881536464,-53.457881536464356
Aggressive tariffs / restrictions,0.2,2,-0.2643927267715329,307.3682013649015,2923.0
Mild tariffs / tighter language,0.3,1,-0.1894585154771832,331.2855171748246,2922.9999999999995
Mild tariffs / tighter language,0.3,1,-0.0233122699548128,391.1639723636978,-577.0
Mild tariffs / tighter language,0.3,1,-0.0552367463170634,378.8734947305696,35.65052694304245
No new measures,0.45,0,0.040084071985123,416.7652779365606,-577.0
No new measures,0.45,0,0.0640693581517994,426.8823579013404,-577.0
No new measures,0.45,0,0.1209528207746205,451.868825871264,-577.0
No new measures,0.45,0,0.096612249169504,441.0028587530855,-577.0
No new measures,0.45,0,0.1756081959159664,477.2532653555472,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1016018534538415,443.2087872851601,-577.0
No new measures,0.45,0,-0.1752285689514985,336.03339326365614,2923.0
No new measures,0.45,0,0.0194281884494924,408.2449235606125,-577.0
No new measures,0.45,0,0.3138439680177118,548.0042688047382,-577.0
No new measures,0.45,0,0.1586107123195146,469.20971452519984,-577.0
Mild tariffs / tighter language,0.3,1,-0.0927960581652308,364.9071911850798,1432.2808814920204
Mild tariffs / tighter language,0.3,1,-0.043049920603313,383.5190095226207,-428.90095226207063
Aggressive tariffs / restrictions,0.2,2,0.0141591745982345,406.099532414948,-577.0
