contractSymbol,strike,lastPrice,bid,ask,mid,spread,volume,openInterest,impliedVolatility,inTheMoney
SMH260213P00320000,320.0,0.75,0.72,0.88,0.8,0.16000000000000003,2.0,108,0.47803256347656253,False
SMH260213P00330000,330.0,1.09,0.94,1.32,1.13,0.3800000000000001,47.0,208,0.46143116699218756,False
SMH260213P00335000,335.0,1.34,1.15,1.49,1.3199999999999998,0.3400000000000001,12.0,56,0.44507390869140623,False
SMH260213P00340000,340.0,1.7,1.5,1.72,1.6099999999999999,0.21999999999999997,42.0,50,0.43079182495117196,False
SMH260213P00350000,350.0,2.22,2.16,2.4,2.2800000000000002,0.23999999999999977,27.0,149,0.4071104211425781,False
SMH260213P00360000,360.0,3.11,3.1,3.4,3.25,0.2999999999999998,6.0,214,0.38550419189453117,False
SMH260213P00365000,365.0,3.58,3.75,4.1,3.925,0.34999999999999964,13.0,212,0.3767762518310547,False
SMH260213P00367500,367.5,4.13,4.1,4.45,4.275,0.35000000000000053,2.0,129,0.37085590087890624,False
SMH260213P00370000,370.0,4.6,4.5,4.85,4.675,0.34999999999999964,4.0,64,0.3655458953857422,False
SMH260213P00372500,372.5,4.9,4.95,5.3,5.125,0.34999999999999964,5.0,69,0.36072416625976556,False
SMH260213P00375000,375.0,5.52,5.4,5.8,5.6,0.39999999999999947,3.0,68,0.3562686444091796,False
SMH260213P00385000,385.0,8.14,7.8,8.3,8.05,0.5000000000000009,8.0,66,0.3397587997436523,False
