scenario,p,severity,log_return,S_T
Aggressive tariffs / restrictions,0.2,2,-0.000402535673129833,400.2288758186161
No new measures,0.45,0,0.04984438261827272,420.85295254679386
Aggressive tariffs / restrictions,0.2,2,0.22057578865025584,499.2040336944038
Mild tariffs / tighter language,0.3,1,0.08086078571322367,434.1108405227959
No new measures,0.45,0,-0.04703177173270321,381.9949302634769
Aggressive + retaliation,0.05,3,0.0660718712922313,427.73805191576173
Aggressive tariffs / restrictions,0.2,2,0.0692883172522947,429.116063206215
Aggressive tariffs / restrictions,0.2,2,-0.006601125547992467,397.7556941994275
No new measures,0.45,0,0.09402772591924939,439.86454823983996
Mild tariffs / tighter language,0.3,1,-0.07651771417500829,370.8958867488841
No new measures,0.45,0,0.06298785130670892,426.42093127222654
Aggressive tariffs / restrictions,0.2,2,0.12184786547681319,452.2734497211504
Mild tariffs / tighter language,0.3,1,0.24247066388782343,510.25457741587906
Aggressive tariffs / restrictions,0.2,2,-0.1313934231100235,351.09108301770874
No new measures,0.45,0,0.021187969134631626,408.9639775950357
No new measures,0.45,0,0.10311704887462311,443.880844230331
Mild tariffs / tighter language,0.3,1,0.15680810995464817,468.364677845557
No new measures,0.45,0,-0.15011644909622707,344.5787510683128
Aggressive tariffs / restrictions,0.2,2,-0.016060547829917466,394.0108948659708
Mild tariffs / tighter language,0.3,1,0.043666550382658126,418.26100815250265
Aggressive tariffs / restrictions,0.2,2,-0.22673905869917454,319.162395480448
No new measures,0.45,0,-0.013424276497677225,395.0509848700476
Aggressive + retaliation,0.05,3,-0.3456575550475079,283.37795981474665
Aggressive tariffs / restrictions,0.2,2,0.1305310682902604,456.21773152911015
Aggressive tariffs / restrictions,0.2,2,0.20708689394650454,492.51553469181295
No new measures,0.45,0,-0.049752923774066225,380.9568769701558
Mild tariffs / tighter language,0.3,1,0.10820519839292805,446.14513196630276
No new measures,0.45,0,-0.03859352536613712,385.231935713268
No new measures,0.45,0,0.028132510659985826,411.8139292700671
Mild tariffs / tighter language,0.3,1,0.14539920313710142,463.05151519953023
Mild tariffs / tighter language,0.3,1,-0.02915004345452371,388.88709809616523
Aggressive + retaliation,0.05,3,0.20603292847158494,491.99671378007787
No new measures,0.45,0,-0.053119824478490556,379.67638983887736
No new measures,0.45,0,0.2249069557522912,501.37085883593886
Mild tariffs / tighter language,0.3,1,0.00844203221571152,403.7844277640169
No new measures,0.45,0,0.09322230107392815,439.51041303790083
No new measures,0.45,0,-0.04069119037932845,384.42469511593896
Mild tariffs / tighter language,0.3,1,0.17372140000548844,476.3536348227076
No new measures,0.45,0,-0.14236605585431764,347.2597478613154
Mild tariffs / tighter language,0.3,1,0.18206047523440574,480.3425926125676
No new measures,0.45,0,-0.018022443881087376,393.23864423265104
Aggressive tariffs / restrictions,0.2,2,0.08252891697930251,434.83559871665443
Mild tariffs / tighter language,0.3,1,-0.06478527726745004,375.27302638740883
No new measures,0.45,0,0.0092466472068497,404.10944950893315
Aggressive tariffs / restrictions,0.2,2,0.042365513556934804,417.71718901920156
Aggressive tariffs / restrictions,0.2,2,-0.046804681504965216,382.08168742966467
No new measures,0.45,0,-0.023557992195949305,391.0678664839164
No new measures,0.45,0,0.31792574123581163,550.2456692848019
Mild tariffs / tighter language,0.3,1,0.33078080117957265,557.3647705467778
No new measures,0.45,0,-0.13309810736990463,350.4930934112493
No new measures,0.45,0,0.05016573341618769,420.9882157111985
No new measures,0.45,0,0.030716989160935126,412.8796300638538
Aggressive tariffs / restrictions,0.2,2,0.41809445405867945,608.2181170303987
Mild tariffs / tighter language,0.3,1,-0.139762458488717,348.1650504363267
Mild tariffs / tighter language,0.3,1,-0.260071249952056,308.69936013639807
Aggressive tariffs / restrictions,0.2,2,-0.0016397669575967354,399.7340063296394
Mild tariffs / tighter language,0.3,1,0.2568298198311532,517.6342586626251
Mild tariffs / tighter language,0.3,1,0.12865787348238428,455.36394674541157
No new measures,0.45,0,0.017906493445649246,407.62417171735734
No new measures,0.45,0,-0.1637480196362896,339.91347130314523
Mild tariffs / tighter language,0.3,1,0.058590576732674864,424.5499579597594
Mild tariffs / tighter language,0.3,1,0.1391525663099533,460.16801601420457
Mild tariffs / tighter language,0.3,1,-0.052887577390109186,379.76457881536464
Aggressive tariffs / restrictions,0.2,2,-0.2643927267715329,307.3682013649015
Mild tariffs / tighter language,0.3,1,-0.1894585154771832,331.2855171748246
Mild tariffs / tighter language,0.3,1,-0.02331226995481283,391.16397236369784
Mild tariffs / tighter language,0.3,1,-0.05523674631706345,378.87349473056963
No new measures,0.45,0,0.04008407198512309,416.7652779365606
No new measures,0.45,0,0.06406935815179943,426.8823579013404
No new measures,0.45,0,0.1209528207746205,451.86882587126394
No new measures,0.45,0,0.09661224916950402,441.0028587530855
No new measures,0.45,0,0.17560819591596646,477.2532653555472
Aggressive tariffs / restrictions,0.2,2,0.10160185345384154,443.2087872851601
No new measures,0.45,0,-0.1752285689514985,336.03339326365614
No new measures,0.45,0,0.01942818844949246,408.2449235606125
No new measures,0.45,0,0.3138439680177118,548.0042688047382
No new measures,0.45,0,0.15861071231951462,469.20971452519984
Mild tariffs / tighter language,0.3,1,-0.09279605816523082,364.9071911850798
Mild tariffs / tighter language,0.3,1,-0.043049920603313016,383.5190095226207
Aggressive tariffs / restrictions,0.2,2,0.014159174598234521,406.09953241494804
Mild tariffs / tighter language,0.3,1,-0.04123726565054009,384.2148276032377
No new measures,0.45,0,-0.11152161859827628,358.13767878855947
Aggressive tariffs / restrictions,0.2,2,0.36153470717676434,574.7722157945718
No new measures,0.45,0,0.05415321964114993,422.67025174126456
No new measures,0.45,0,-0.06788559880749334,374.11136103884706
No new measures,0.45,0,-0.0016969543138106863,399.71114725225993
Mild tariffs / tighter language,0.3,1,-0.026183901897160092,390.0423046851278
Mild tariffs / tighter language,0.3,1,0.083827675981706,435.40071225876835
No new measures,0.45,0,0.2595874254564574,519.0636597626103
Mild tariffs / tighter language,0.3,1,0.10662326459218657,445.4399178501
No new measures,0.45,0,0.147691812257938,464.1143291696773
Mild tariffs / tighter language,0.3,1,0.07331031107564563,430.8454408036758
No new measures,0.45,0,-0.11866989075410245,355.5867414507579
No new measures,0.45,0,-0.03755842999432215,385.6308939512919
No new measures,0.45,0,0.04476854428607433,418.7221832929494
Mild tariffs / tighter language,0.3,1,-0.2930102484860988,298.6967546365952
No new measures,0.45,0,0.016272968144524527,406.95885087666574
No new measures,0.45,0,0.07834415991758334,433.0197195308623
No new measures,0.45,0,-0.03854088645389676,385.2522144370445
Aggressive + retaliation,0.05,3,0.2885084996060972,534.2947261281176
Aggressive tariffs / restrictions,0.2,2,0.0025156530953855632,401.39852502741365
Mild tariffs / tighter language,0.3,1,-0.09651843614305367,363.5513936536049
No new measures,0.45,0,0.005322539586245428,402.52678783682114
Aggressive + retaliation,0.05,3,0.06326995784730705,426.5412443757452
Aggressive tariffs / restrictions,0.2,2,-0.22866352700242776,318.54876820925693
Mild tariffs / tighter language,0.3,1,-0.09476788080632204,364.18836785256883
No new measures,0.45,0,-0.03979175777653369,384.77061476242955
No new measures,0.45,0,0.005172026819706209,402.4662069755886
No new measures,0.45,0,0.12033050002536125,451.5877060074157
Aggressive tariffs / restrictions,0.2,2,0.29654819811934013,538.6076085497323
Mild tariffs / tighter language,0.3,1,0.18901383457485146,483.69422631823244
No new measures,0.45,0,0.07657240321951383,432.2531931919931
No new measures,0.45,0,-0.030688949383729063,388.2890976863187
Mild tariffs / tighter language,0.3,1,-0.0747407382463487,371.5555457371667
No new measures,0.45,0,0.16637100291806314,472.8650832789813
Aggressive tariffs / restrictions,0.2,2,0.05653422081415726,423.6778291519439
Aggressive tariffs / restrictions,0.2,2,-0.09345174839355526,364.66800353064775
Mild tariffs / tighter language,0.3,1,-0.2100016172968904,324.54931322477637
No new measures,0.45,0,0.15900227629241362,469.3934761200043
Mild tariffs / tighter language,0.3,1,0.12353757787548512,453.03830778983473
Mild tariffs / tighter language,0.3,1,0.046448878156458324,419.42636782668916
Mild tariffs / tighter language,0.3,1,0.35895301352655573,573.2902438366648
No new measures,0.45,0,0.044561097699242,418.6353298142346
No new measures,0.45,0,0.016946261589608973,407.2329458662055
No new measures,0.45,0,0.23410369882720336,506.0031059535935
Mild tariffs / tighter language,0.3,1,-0.1434377341370511,346.88779647277624
No new measures,0.45,0,0.21737897984302398,497.6107219562977
No new measures,0.45,0,-0.11813414267584324,355.7772974045798
No new measures,0.45,0,0.1730335071813086,476.02606725414796
Mild tariffs / tighter language,0.3,1,0.006573030216850764,403.0304586657714
No new measures,0.45,0,0.22993914634744697,503.90021131077447
Aggressive tariffs / restrictions,0.2,2,0.39300949622607934,593.1507632710114
Mild tariffs / tighter language,0.3,1,-0.0990692645454106,362.6252181924902
No new measures,0.45,0,0.1152510965491007,449.2997255508481
Mild tariffs / tighter language,0.3,1,-0.09881732339110391,362.716589918208
No new measures,0.45,0,-0.005499654681612308,398.1940518833146
Aggressive + retaliation,0.05,3,0.07335044404285257,430.8627322565992
Mild tariffs / tighter language,0.3,1,-0.07142174363115453,372.79078533558027
Aggressive tariffs / restrictions,0.2,2,-0.0006770780136438372,400.1190111282522
No new measures,0.45,0,0.007529680973682437,403.4162025407464
Mild tariffs / tighter language,0.3,1,-0.10697386633174749,359.77010936041603
Mild tariffs / tighter language,0.3,1,0.0586554027180527,424.57748072121177
Aggressive tariffs / restrictions,0.2,2,-0.09110787209679662,365.5237427019209
Mild tariffs / tighter language,0.3,1,0.04280542201840842,417.9009867692828
Mild tariffs / tighter language,0.3,1,0.030614440492341296,412.8372919783955
No new measures,0.45,0,0.2285235192148112,503.1873811693892
No new measures,0.45,0,0.1344655057393202,458.01622737163194
Mild tariffs / tighter language,0.3,1,0.19824480226193278,488.1798636263238
No new measures,0.45,0,0.1034950963798128,444.0486839997978
No new measures,0.45,0,0.2953884603545679,537.9833270370976
Aggressive tariffs / restrictions,0.2,2,0.16874977817702563,473.99126197187155
Aggressive tariffs / restrictions,0.2,2,0.16998555207080052,474.57737007325017
No new measures,0.45,0,-0.0636188000261903,375.71102924246463
Mild tariffs / tighter language,0.3,1,0.10665796797608025,445.455376390801
No new measures,0.45,0,0.034928108275765105,414.62198141584605
Mild tariffs / tighter language,0.3,1,0.14242643551441442,461.6770146950522
No new measures,0.45,0,0.06510037438752445,427.3227075078707
Mild tariffs / tighter language,0.3,1,0.0555001678823537,423.23995028454993
Mild tariffs / tighter language,0.3,1,0.07455597580446557,431.3824641789557
Aggressive tariffs / restrictions,0.2,2,0.16264389165820264,471.1059427952533
No new measures,0.45,0,0.021941482304839246,409.27225346867334
Aggressive tariffs / restrictions,0.2,2,0.23614280726220052,507.0359538416199
No new measures,0.45,0,-0.1531056448201679,343.5502756620123
No new measures,0.45,0,0.15256848729426897,466.3831916888487
Mild tariffs / tighter language,0.3,1,0.15432319623155627,467.20227686137815
No new measures,0.45,0,-0.036052818345368616,386.2119416237303
Aggressive tariffs / restrictions,0.2,2,-0.3220537422856661,290.1463254961635
Aggressive tariffs / restrictions,0.2,2,0.1483636015174537,464.4262209422425
No new measures,0.45,0,-0.03797875405577674,385.4688380681033
Aggressive + retaliation,0.05,3,0.12536799866616177,453.86831792955275
No new measures,0.45,0,0.006093451648630115,402.83722023566355
Mild tariffs / tighter language,0.3,1,-0.11275054513805025,357.6978242200375
No new measures,0.45,0,0.019937947755871415,408.45308326084404
Aggressive tariffs / restrictions,0.2,2,0.01867367498321565,407.93701344401904
No new measures,0.45,0,0.031622651510427625,413.25372897775526
No new measures,0.45,0,0.1482524647464453,464.3746089797219
No new measures,0.45,0,0.17029863316034208,474.72597453475396
Aggressive + retaliation,0.05,3,0.049490846735413783,420.7041922242669
Aggressive tariffs / restrictions,0.2,2,0.028110790132170684,411.8049845513041
Mild tariffs / tighter language,0.3,1,-0.04967507774550256,380.98653410441204
Aggressive tariffs / restrictions,0.2,2,-0.0821484738222224,368.81332984750725
Aggressive tariffs / restrictions,0.2,2,-0.0676238716032594,374.2092889740873
Mild tariffs / tighter language,0.3,1,0.04411712122119478,418.44950682848736
No new measures,0.45,0,0.01680922147118229,407.17714243881824
Aggressive tariffs / restrictions,0.2,2,-0.03737498347062272,385.7016430873615
Mild tariffs / tighter language,0.3,1,0.040036179207297067,416.7453183676622
No new measures,0.45,0,-0.0196022488329397,392.6178943362175
No new measures,0.45,0,0.030880553386131715,412.9471679238829
Mild tariffs / tighter language,0.3,1,-0.14860746220983315,345.09910839245447
No new measures,0.45,0,-0.05136218803893013,380.34430970509703
Aggressive tariffs / restrictions,0.2,2,0.028234186168301416,411.85580278937664
No new measures,0.45,0,0.04163290364523771,417.4112773368875
No new measures,0.45,0,-0.057000546594713604,378.20582654512754
Aggressive tariffs / restrictions,0.2,2,-0.37297584983533455,275.74134178466056
No new measures,0.45,0,0.2732966640340399,526.2286282253572
No new measures,0.45,0,0.05842842518692842,424.48112210890037
Mild tariffs / tighter language,0.3,1,0.13295793057589245,457.3262537070598
Aggressive tariffs / restrictions,0.2,2,0.12844023230343793,455.26485158317735
No new measures,0.45,0,-0.013120229944369462,395.17111702233615
No new measures,0.45,0,0.1205410102715545,451.6827798532435
Aggressive tariffs / restrictions,0.2,2,0.1731532412656599,476.08306721178866
Aggressive + retaliation,0.05,3,-0.024418263798273186,390.731586570568
Mild tariffs / tighter language,0.3,1,0.22032182451447613,499.0772698708226
No new measures,0.45,0,-0.08772997719239412,366.7605311845912
No new measures,0.45,0,-0.031791433239963106,387.8612511148731
No new measures,0.45,0,0.0902264930030553,438.19569450077654
No new measures,0.45,0,0.059230365227771045,424.82166704736153
Mild tariffs / tighter language,0.3,1,0.2105457934391249,494.2220460491106
No new measures,0.45,0,0.15739272782193564,468.6385722586148
Mild tariffs / tighter language,0.3,1,-0.05472639258498961,379.06690358185585
Mild tariffs / tighter language,0.3,1,0.14429261667499904,462.53939206807587
Mild tariffs / tighter language,0.3,1,-0.01731430571291666,393.51721014576884
No new measures,0.45,0,-0.24867179317654867,312.2384989537475
Aggressive tariffs / restrictions,0.2,2,0.08533894824781248,436.0592187458109
Mild tariffs / tighter language,0.3,1,0.04377191994399126,418.30508245345845
Mild tariffs / tighter language,0.3,1,0.17680767325665422,477.8260632935083
No new measures,0.45,0,0.13260628594166163,457.16546565563533
No new measures,0.45,0,-0.013715130952907668,394.93609923936367
Aggressive tariffs / restrictions,0.2,2,0.10625225457267502,445.2746858307499
No new measures,0.45,0,-0.08108799643426032,369.20465550352014
No new measures,0.45,0,-0.14050792092772493,347.9056031847564
Mild tariffs / tighter language,0.3,1,0.20757726035424068,492.7571069899433
Mild tariffs / tighter language,0.3,1,-0.022322351319368015,391.5513845911103
Aggressive + retaliation,0.05,3,-0.07269475510155307,372.31652032623543
No new measures,0.45,0,-0.015037966301082645,394.4140092027307
Aggressive tariffs / restrictions,0.2,2,0.17080058326801437,474.96432310332693
No new measures,0.45,0,0.21555835789430758,496.7055851599651
Mild tariffs / tighter language,0.3,1,-0.032290270440267624,387.66781974365324
Mild tariffs / tighter language,0.3,1,0.2279125500007969,502.88004306723394
No new measures,0.45,0,0.14883269162413276,464.6441297932161
No new measures,0.45,0,0.22032889954727092,499.080800871365
No new measures,0.45,0,0.032447782292410805,413.59485806900653
Aggressive + retaliation,0.05,3,0.16845210100237856,473.85018659070255
Mild tariffs / tighter language,0.3,1,0.021664852084855322,409.1590520533511
Aggressive tariffs / restrictions,0.2,2,0.0452675905619253,418.9311971886032
Aggressive tariffs / restrictions,0.2,2,0.3804405835639732,585.7421597100555
Mild tariffs / tighter language,0.3,1,-0.3523057896297328,281.5002453217702
Aggressive tariffs / restrictions,0.2,2,0.0052545424924267834,402.49941811560535
No new measures,0.45,0,0.05615732510340178,423.51817688341185
No new measures,0.45,0,-0.12504645263692554,353.32653442260886
Aggressive tariffs / restrictions,0.2,2,0.17239974225302654,475.7244742074168
Aggressive tariffs / restrictions,0.2,2,-0.14911584789196458,344.92370953574283
