contractSymbol,strike,lastPrice,bid,ask,mid,spread,volume,openInterest,impliedVolatility,inTheMoney
SMH260213C00295000,295.0,84.8,104.3,108.85,106.57499999999999,4.549999999999997,,1,0.6550327465820314,True
SMH260213C00305000,305.0,75.4,95.25,98.25,96.75,3.0,,25,0.6121864953613283,True
SMH260213C00310000,310.0,70.55,89.6,94.15,91.875,4.550000000000011,,10,0.5931437170410157,True
SMH260213C00315000,315.0,65.55,85.5,88.45,86.975,2.950000000000003,,27,0.5711712805175782,True
SMH260213C00325000,325.0,52.82,75.8,78.75,77.275,2.950000000000003,42.0,21,0.532231240234375,True
SMH260213C00330000,330.0,72.03,70.25,74.75,72.5,4.5,1.0,5,0.5159960510253907,True
SMH260213C00335000,335.0,53.9,65.5,69.95,67.725,4.450000000000003,2.0,12,0.6071816625976563,True
SMH260213C00340000,340.0,62.45,60.7,64.75,62.725,4.049999999999997,1.0,2,0.5629926513671876,True
SMH260213C00345000,345.0,44.9,56.05,60.5,58.275,4.450000000000003,133.0,189,0.5575605767822267,True
SMH260213C00347500,347.5,46.35,53.7,58.15,55.925,4.449999999999996,,8,0.545048494873047,True
SMH260213C00350000,350.0,54.46,52.5,54.5,53.5,2.0,6.0,42,0.4823660162353516,True
SMH260213C00352500,352.5,53.56,49.1,53.5,51.3,4.399999999999999,6.0,6,0.520939849243164,True
SMH260213C00355000,355.0,35.97,46.85,50.3,48.575,3.4499999999999957,1.0,2,0.47736118347167966,True
SMH260213C00360000,360.0,25.15,43.2,45.75,44.475,2.549999999999997,1.0,1,0.4564873687744141,True
SMH260213C00362500,362.5,35.5,41.6,44.25,42.925,2.6499999999999986,,2,0.4704032452392578,True
SMH260213C00365000,365.0,32.2,39.4,41.15,40.275,1.75,4.0,13,0.4321345849609375,True
SMH260213C00370000,370.0,34.7,35.3,37.05,36.175,1.75,2.0,8,0.42090422851562503,True
SMH260213C00372500,372.5,23.06,32.95,36.25,34.6,3.299999999999997,1.0,10,0.44922425781249997,True
SMH260213C00375000,375.0,32.1,31.1,33.15,32.125,2.049999999999997,12.0,33,0.41165749481201175,True
SMH260213C00377500,377.5,18.65,29.2,32.0,30.6,2.8000000000000007,1.0,6,0.42673302764892584,True
SMH260213C00380000,380.0,27.76,27.4,29.15,28.275,1.75,1.0,44,0.3956969610595704,True
SMH260213C00382500,382.5,20.05,25.1,27.55,26.325000000000003,2.4499999999999993,3.0,11,0.39649041015625003,True
SMH260213C00385000,385.0,24.54,23.5,25.6,24.55,2.1000000000000014,1.0,64,0.3872741937255859,True
SMH260213C00387500,387.5,23.45,21.55,23.95,22.75,2.3999999999999986,2.0,15,0.3842835009765625,True
SMH260213C00390000,390.0,20.75,20.2,21.95,21.075,1.75,13.0,91,0.37177141906738287,True
SMH260213C00392500,392.5,19.78,18.7,20.25,19.475,1.5500000000000007,4.0,4,0.3653017572021484,True
SMH260213C00395000,395.0,18.25,17.3,18.75,18.025,1.4499999999999993,11.0,59,0.3621889953613281,True
SMH260213C00397500,397.5,18.05,16.0,16.85,16.425,0.8500000000000014,25.0,23,0.34857829162597653,True
SMH260213C00400000,400.0,15.47,14.65,15.45,15.05,0.7999999999999989,27.0,49,0.3450688052368164,True
SMH260213C00402500,402.5,13.94,13.35,14.0,13.675,0.6500000000000004,37.0,7,0.33896535064697264,False
SMH260213C00405000,405.0,12.7,12.1,12.75,12.425,0.6500000000000004,8.0,43,0.33588310607910155,False
SMH260213C00410000,410.0,10.5,9.95,10.5,10.225,0.5500000000000007,35.0,90,0.3309393078613281,False
SMH260213C00415000,415.0,8.72,8.05,8.6,8.325,0.5499999999999989,8.0,41,0.3279791323852539,False
SMH260213C00420000,420.0,6.45,6.45,6.95,6.7,0.5,18.0,148,0.3250189569091796,False
SMH260213C00425000,425.0,5.53,5.15,5.6,5.375,0.4499999999999993,4.0,65,0.3237372314453124,False
SMH260213C00430000,430.0,4.1,4.05,4.45,4.25,0.40000000000000036,2.0,78,0.3220892987060546,False
SMH260213C00435000,435.0,3.48,3.1,3.7,3.4000000000000004,0.6000000000000001,1.0,3,0.32739930419921875,False
SMH260213C00440000,440.0,3.25,2.5,2.78,2.6399999999999997,0.2799999999999998,3.0,62,0.32166205688476557,False
SMH260213C00450000,450.0,1.66,1.49,1.73,1.6099999999999999,0.24,6.0,34,0.324103438720703,False
SMH260213C00455000,455.0,1.39,1.15,1.5,1.325,0.3500000000000001,1.0,11,0.33374689697265625,False
SMH260213C00460000,460.0,1.04,0.92,1.15,1.035,0.22999999999999987,1.0,11,0.3332586206054688,False
SMH260213C00465000,465.0,0.84,0.71,0.91,0.81,0.20000000000000007,1.0,10,0.3354558642578125,False
